Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
2008,Beijing,Taekwondo,Taekwondo,"NIKPAI, Rohullah",Afghanistan,Men,- 58 KG,Bronze
2012,London,Taekwondo,Taekwondo,"NIKPAI, Rohullah",Afghanistan,Men,58 - 68 KG,Bronze
1988,Seoul,Sailing,Sailing,"BOERSMA, Jan D.",Netherlands Antilles*,Men,Board (Division Ii),Silver
1984,Los Angeles,Boxing,Boxing,"ZAOUI, Mohamed",Algeria,Men,71-75KG,Bronze
1984,Los Angeles,Boxing,Boxing,"MOUSSA, Mustapha",Algeria,Men,75 - 81KG (Light-Heavyweight),Bronze
1992,Barcelona,Athletics,Athletics,"BOULMERKA, Hassiba",Algeria,Women,1500M,Gold
1992,Barcelona,Boxing,Boxing,"SOLTANI, Hocine",Algeria,Men,54 - 57KG (Featherweight),Bronze
1996,Atlanta,Athletics,Athletics,"MORCELI, Nourredine",Algeria,Men,1500M,Gold
1996,Atlanta,Boxing,Boxing,"SOLTANI, Hocine",Algeria,Men,57 - 60KG (Lightweight),Gold
1996,Atlanta,Boxing,Boxing,"BAHARI, Mohamed",Algeria,Men,71-75KG,Bronze
2000,Sydney,Athletics,Athletics,"MERAH-BENIDA, Nouria",Algeria,Women,1500M,Gold
2000,Sydney,Athletics,Athletics,"SAIDI-SIEF, Ali",Algeria,Men,5000M,Silver
2000,Sydney,Athletics,Athletics,"SAID GUERNI, Djabir",Algeria,Men,800M,Bronze
2000,Sydney,Athletics,Athletics,"HAMMAD, Abderrahmane",Algeria,Men,High Jump,Bronze
2000,Sydney,Boxing,Boxing,"ALLALOU, Mohamed",Algeria,Men,60 - 63.5KG (Light-Welterweight),Bronze
2008,Beijing,Judo,Judo,"HADDAD, Soraya",Algeria,Women,48 - 52KG (Half-Lightweight),Bronze
2008,Beijing,Judo,Judo,"BENIKHLEF, Amar",Algeria,Men,81 - 90KG (Middleweight),Silver
2012,London,Athletics,Athletics,"MAKHLOUFI, Taoufik",Algeria,Men,1500M,Gold
1908,London,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",Angola,Men,1500M Freestyle,Bronze
1908,London,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",Angola,Men,400M Freestyle,Silver
1908,London,Athletics,Athletics,"KERR, Harry E.",Angola,Men,3500M Walk,Bronze
1908,London,Boxing,Boxing,"BAKER, Reginald L.",Angola,Men,63.5 - 71.67KG (Middleweight),Silver
1908,London,Rugby,Rugby,"BARNETT, Jumbo",Angola,Men,Rugby,Gold
1908,London,Rugby,Rugby,"BEDE-SMITH, Frank",Angola,Men,Rugby,Gold
1908,London,Rugby,Rugby,"CARMICHAEL, Philipp",Angola,Men,Rugby,Gold
1908,London,Rugby,Rugby,"CARROLL, Daniel Brendan",Angola,Men,Rugby,Gold
1908,London,Rugby,Rugby,"CRAIG, Robert R.",Angola,Men,Rugby,Gold
